size,time_basic,mem_basic,time_efficient,mem_efficient
16,0.05698204040527344,0.0,0.11014938354492188,0.0
64,0.5211830139160156,64.0,0.9119510650634766,16.0
128,2.1572113037109375,208.0,3.6628246307373047,16.0
256,8.336782455444336,400.0,13.397932052612305,32.0
384,18.435955047607422,1232.0,31.261920928955078,80.0
512,32.67097473144531,1872.0,54.221153259277344,64.0
768,74.66912269592285,3120.0,164.54076766967773,192.0
1024,137.14194297790527,5184.0,215.51895141601562,240.0
1280,218.33395957946777,7456.0,333.5998058319092,272.0
1536,290.65918922424316,11376.0,480.81493377685547,320.0
2048,556.4789772033691,10832.0,876.8582344055176,256.0
2560,845.1242446899414,29072.0,1333.1551551818848,448.0
3072,1210.434913635254,30992.0,1891.4589881896973,752.0
3584,1697.9060173034668,50000.0,2658.862829208374,560.0
3968,2160.665988922119,31776.0,3250.148296356201,544.0
